,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Melanesia,10000,10000,10000,10000,10000,10000,10000,1806592.88,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
MiddleAfrica,10000,10000,10000,10000,12234.32,10000,22269802.73,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4106507.16,10000,10000,10000,10000,10000
NordicCountries,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1414027.28,10000,10000,10000,10000,10000,10000,10000
NorthAfrica,169469059.6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
PersianMiddleEast,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,23042533.6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Portugal,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9504342.69,10000,10000,10000,10000,10000,10000,10000,10000,10000
RussianAsia,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5099512.2,10000,10000,10000,10000,10000,10000,10000
Somalia,10021337.43,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
SoutheastAsia,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,84300000,10000,609207.84,10000,10000,10000,10000,10000,10000,10000,10000,152301.96,10000,10000,67800000,10000
SouthernAfrica,10000,10000,10000,6615646.83,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Spain,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,34466903.78,10000,10000,10000,10000,10000,10000
SpanishSouthAmerica,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,61606605.96,10000,10000,10000,10000,10000,10000
Tajikistan,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,13070622.72,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
TurkishMiddleEast,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,70900000,10000,10000
USA,10000,10000,10000,244385072.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
